Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Delhi,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,AR Patel,Feroz Shah Kotla,HDPK Dharmasena,PG Pathak
IPL,Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,normal,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,NJ Llong
IPL,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,RV Uthappa,Eden Gardens,RM Deshpande,C Shamshuddin
IPL,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,LMP Simmons,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni
IPL,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,RV Uthappa,Eden Gardens,AK Chaudhary,CK Nandan
IPL,Ranchi,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,DA Warner,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin
IPL,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,MEK Hussey,Wankhede Stadium,S Ravi,RJ Tucker
IPL,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,PG Pathak
IPL,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,AK Chaudhary,NJ Llong
IPL,Kolkata,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,YK Pathan,Eden Gardens,RM Deshpande,BNJ Oxenford
IPL,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,M Vohra,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,VA Kulkarni
IPL,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,CJ Anderson,Wankhede Stadium,K Srinath,RJ Tucker
IPL,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,Kolkata Knight Riders,UT Yadav,Eden Gardens,NJ Llong,S Ravi
IPL,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford
IPL,Mumbai,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,Kings XI Punjab,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker
IPL,Bangalore,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,MK Pandey,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford
IPL,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,M Morkel,Eden Gardens,S Ravi,C Shamshuddin
IPL,Chennai,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,Chennai Super Kings,A Nehra,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni
IPL,Pune,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Rajasthan Royals,JP Faulkner,Maharashtra Cricket Association Stadium,SD Fry,CB Gaffaney
IPL,Chennai,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,normal,Chennai Super Kings,BB McCullum,"MA Chidambaram Stadium, Chepauk",RK Illingworth,VA Kulkarni
IPL,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,CH Gayle,Eden Gardens,S Ravi,C Shamshuddin
IPL,Delhi,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,DJ Hooda,Feroz Shah Kotla,SD Fry,CB Gaffaney
IPL,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,GJ Bailey,Wankhede Stadium,AK Chaudhary,K Srinivasan
IPL,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,DA Warner,M Chinnaswamy Stadium,RM Deshpande,RK Illingworth
IPL,Ahmedabad,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,Rajasthan Royals,SPD Smith,"Sardar Patel Stadium, Motera",AK Chaudhary,SD Fry
IPL,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,AD Russell,Eden Gardens,AK Chaudhary,M Erasmus
IPL,Pune,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,normal,Delhi Daredevils,MA Agarwal,Maharashtra Cricket Association Stadium,CB Gaffaney,K Srinath
IPL,Visakhapatnam,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,AM Rahane,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi
IPL,Mumbai,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Chennai Super Kings,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus
IPL,Visakhapatnam,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,normal,Delhi Daredevils,JP Duminy,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,PG Pathak,S Ravi
IPL,Pune,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,AD Russell,Maharashtra Cricket Association Stadium,SD Fry,CK Nandan
IPL,Ahmedabad,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Rajasthan Royals,AM Rahane,"Sardar Patel Stadium, Motera",AK Chaudhary,M Erasmus
IPL,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,Harbhajan Singh,M Chinnaswamy Stadium,RK Illingworth,VA Kulkarni
IPL,Delhi,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,UT Yadav,Feroz Shah Kotla,SD Fry,CB Gaffaney
IPL,Ahmedabad,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,tie,Kings XI Punjab,SE Marsh,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi
IPL,Visakhapatnam,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad,DA Warner,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,RK Illingworth,VA Kulkarni
IPL,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Chennai Super Kings,SK Raina,M Chinnaswamy Stadium,JD Cloete,C Shamshuddin
IPL,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,normal,Delhi Daredevils,SS Iyer,Feroz Shah Kotla,SD Fry,CK Nandan
IPL,Ahmedabad,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,MA Starc,"Sardar Patel Stadium, Motera",M Erasmus,S Ravi
IPL,Mumbai,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,Mumbai Indians,SL Malinga,Wankhede Stadium,HDPK Dharmasena,CB Gaffaney
IPL,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,BB McCullum,"MA Chidambaram Stadium, Chepauk",JD Cloete,C Shamshuddin
IPL,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,VR Aaron,Feroz Shah Kotla,M Erasmus,S Ravi
