Season,city,team1,team2,toss_winner,toss_decision,result,winner,player_of_match,venue,umpire1,umpire2
IPL,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Sunrisers Hyderabad,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong
IPL,Pune,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi
IPL,Rajkot,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan
IPL,Indore,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin
IPL,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,KM Jadhav,M Chinnaswamy Stadium,,
IPL,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong
IPL,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan
IPL,Indore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Kings XI Punjab,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin
IPL,Pune,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Delhi Daredevils,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi
IPL,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan
IPL,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,SP Narine,Eden Gardens,A Deshmukh,NJ Llong
IPL,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary
IPL,Rajkot,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi
IPL,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong
IPL,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Delhi Daredevils,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon
IPL,Mumbai,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi
IPL,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rising Pune Supergiant,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin
IPL,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,Kolkata Knight Riders,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan
IPL,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh
IPL,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Royal Challengers Bangalore,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma
IPL,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong
IPL,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin
IPL,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon
IPL,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi
IPL,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh
IPL,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Kings XI Punjab,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus
IPL,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan
IPL,Mumbai,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,Rising Pune Supergiant,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi
IPL,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong
IPL,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin
IPL,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,G Gambhir,Eden Gardens,NJ Llong,S Ravi
IPL,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,normal,Sunrisers Hyderabad,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan
IPL,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rising Pune Supergiant,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus
IPL,Rajkot,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,tie,Mumbai Indians,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney
IPL,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan
IPL,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi
IPL,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,normal,Mumbai Indians,RG Sharma,Wankhede Stadium,AK Chaudhary,CB Gaffaney
IPL,Pune,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin
IPL,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon
IPL,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore
IPL,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon
IPL,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kings XI Punjab,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin
IPL,Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Rising Pune Supergiant,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,AK Chaudhary
IPL,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan
IPL,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin
IPL,Chandigarh,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,Gujarat Lions,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma
IPL,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,Sunrisers Hyderabad,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,M Erasmus
IPL,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kings XI Punjab,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi
IPL,Kanpur,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,SS Iyer,Green Park,YC Barde,AK Chaudhary
IPL,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore
IPL,Delhi,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,Delhi Daredevils,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan
IPL,Kanpur,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,Mohammed Siraj,Green Park,AK Chaudhary,Nitin Menon
IPL,Kolkata,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi
IPL,Pune,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,normal,Rising Pune Supergiant,JD Unadkat,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh
IPL,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin
IPL,Mumbai,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,normal,Rising Pune Supergiant,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin
IPL,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,NM Coulter-Nile,M Chinnaswamy Stadium,AK Chaudhary,Nitin Menon
IPL,Bangalore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,KV Sharma,M Chinnaswamy Stadium,NJ Llong,Nitin Menon
IPL,Hyderabad,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,normal,Mumbai Indians,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,S Ravi
IPL,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Kolkata Knight Riders,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen
IPL,Chandigarh,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri
IPL,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,Delhi Daredevils,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar
IPL,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper
IPL,Kolkata,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,bat,normal,Kolkata Knight Riders,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan
IPL,Jaipur,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin
IPL,Hyderabad,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,Delhi Daredevils,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba
IPL,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Chennai Super Kings,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar
IPL,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson
IPL,Chandigarh,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,AM Saheba
IPL,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,SR Watson,M Chinnaswamy Stadium,MR Benson,IL Howell
IPL,Chennai,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash
IPL,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,AC Gilchrist,Dr DY Patil Sports Academy,Asad Rauf,SL Shastri
IPL,Chandigarh,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Kings XI Punjab,SM Katich,"Punjab Cricket Association Stadium, Mohali",RE Koertzen,I Shivram
IPL,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium,BR Doctrove,RB Tiffin
IPL,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,Mumbai Indians,ST Jayasuriya,Eden Gardens,BF Bowden,AV Jayaprakash
IPL,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Delhi Daredevils,GD McGrath,Feroz Shah Kotla,Aleem Dar,I Shivram
IPL,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,RB Tiffin
IPL,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,Rajasthan Royals,SA Asnodkar,Sawai Mansingh Stadium,RE Koertzen,GA Pratapkumar
IPL,Chennai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,Delhi Daredevils,V Sehwag,"MA Chidambaram Stadium, Chepauk",BF Bowden,K Hariharan
IPL,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,Royal Challengers Bangalore,R Vinay Kumar,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,RE Koertzen
IPL,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kings XI Punjab,IK Pathan,"Punjab Cricket Association Stadium, Mohali",DJ Harper,I Shivram
IPL,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Mumbai Indians,SM Pollock,Dr DY Patil Sports Academy,IL Howell,RE Koertzen
IPL,Jaipur,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,Rajasthan Royals,Sohail Tanvir,Sawai Mansingh Stadium,Asad Rauf,AV Jayaprakash
IPL,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,S Sreesanth,M Chinnaswamy Stadium,SJ Davis,BR Doctrove
IPL,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,AC Gilchrist,"MA Chidambaram Stadium, Chepauk",MR Benson,RB Tiffin
IPL,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,A Nehra,Dr DY Patil Sports Academy,DJ Harper,RE Koertzen
IPL,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin
IPL,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,SC Ganguly,Eden Gardens,Asad Rauf,IL Howell
IPL,Jaipur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,YK Pathan,Sawai Mansingh Stadium,MR Benson,AM Saheba
IPL,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,CRD Fernando,M Chinnaswamy Stadium,BF Bowden,AV Jayaprakash
IPL,Chennai,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,normal,Chennai Super Kings,L Balaji,"MA Chidambaram Stadium, Chepauk",AV Jayaprakash,BG Jerling
IPL,Hyderabad,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,SC Ganguly,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba
IPL,Jaipur,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium,SJ Davis,RE Koertzen
IPL,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",BR Doctrove,I Shivram
IPL,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Kolkata Knight Riders,Shoaib Akhtar,Eden Gardens,Asad Rauf,IL Howell
IPL,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,ST Jayasuriya,Wankhede Stadium,BR Doctrove,AM Saheba
IPL,Chandigarh,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",SJ Davis,K Hariharan
IPL,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,Delhi Daredevils,A Mishra,Feroz Shah Kotla,BG Jerling,GA Pratapkumar
IPL,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,Mumbai Indians,SM Pollock,Wankhede Stadium,BR Doctrove,DJ Harper
IPL,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,Kings XI Punjab,DPMD Jayawardene,Feroz Shah Kotla,AV Jayaprakash,RE Koertzen
IPL,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rajasthan Royals,GC Smith,Sawai Mansingh Stadium,BF Bowden,SL Shastri
IPL,Hyderabad,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,Mumbai Indians,DJ Bravo,"Rajiv Gandhi International Stadium, Uppal",BR Doctrove,DJ Harper
IPL,Kolkata,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,Chennai Super Kings,M Ntini,Eden Gardens,Asad Rauf,K Hariharan
IPL,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,SP Goswami,M Chinnaswamy Stadium,SJ Davis,GA Pratapkumar
IPL,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,YK Pathan,Eden Gardens,BG Jerling,RE Koertzen
IPL,Mumbai,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,normal,Kings XI Punjab,SE Marsh,Wankhede Stadium,BF Bowden,GA Pratapkumar
IPL,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram
IPL,Chandigarh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,normal,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Asad Rauf,SJ Davis
IPL,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,KD Karthik,Feroz Shah Kotla,BF Bowden,K Hariharan
IPL,Chennai,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri
IPL,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,Royal Challengers Bangalore,P Kumar,M Chinnaswamy Stadium,BR Doctrove,SL Shastri
IPL,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,normal,Kolkata Knight Riders,Umar Gul,Eden Gardens,SJ Davis,I Shivram
IPL,Jaipur,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,Sohail Tanvir,Sawai Mansingh Stadium,BF Bowden,K Hariharan
IPL,Hyderabad,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,Chennai Super Kings,SK Raina,"Rajiv Gandhi International Stadium, Uppal",BG Jerling,AM Saheba
IPL,Mumbai,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,Rajasthan Royals,SR Watson,Wankhede Stadium,BF Bowden,RE Koertzen
IPL,Mumbai,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,normal,Chennai Super Kings,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper
IPL,Mumbai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,YK Pathan,Dr DY Patil Sports Academy,BF Bowden,RE Koertzen
IPL,Cape Town,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,SR Tendulkar,Newlands,BR Doctrove,K Hariharan
IPL,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,R Dravid,Newlands,BR Doctrove,RB Tiffin
IPL,Cape Town,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,DL Vettori,Newlands,MR Benson,SD Ranade
IPL,Cape Town,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,Deccan Chargers,RP Singh,Newlands,MR Benson,BR Doctrove
IPL,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,Chennai Super Kings,M Muralitharan,St George's Park,BG Jerling,SJA Taufel
IPL,Durban,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,CH Gayle,Kingsmead,DJ Harper,SD Ranade
IPL,Cape Town,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,Deccan Chargers,AC Gilchrist,Newlands,M Erasmus,AM Saheba
IPL,Durban,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,Delhi Daredevils,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel
IPL,Cape Town,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,Rajasthan Royals,YK Pathan,Newlands,MR Benson,M Erasmus
IPL,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Kings XI Punjab,RS Bopara,Kingsmead,BR Doctrove,TH Wijewardene
IPL,Durban,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,Deccan Chargers,PP Ojha,Kingsmead,HDPK Dharmasena,SJA Taufel
IPL,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,Delhi Daredevils,TM Dilshan,St George's Park,S Asnani,BG Jerling
IPL,Cape Town,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,normal,Kings XI Punjab,KC Sangakkara,Newlands,M Erasmus,K Hariharan
IPL,Durban,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,Deccan Chargers,HH Gibbs,Kingsmead,IL Howell,TH Wijewardene
IPL,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,SR Tendulkar,St George's Park,BG Jerling,RB Tiffin
IPL,Centurion,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,Rajasthan Royals,YK Pathan,SuperSport Park,GAV Baxter,RE Koertzen
IPL,Durban,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,Royal Challengers Bangalore,MV Boucher,Kingsmead,MR Benson,TH Wijewardene
IPL,Durban,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,normal,Kings XI Punjab,KC Sangakkara,Kingsmead,MR Benson,SL Shastri
IPL,Centurion,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,Delhi Daredevils,DP Nannes,SuperSport Park,GAV Baxter,AM Saheba
IPL,Centurion,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,Chennai Super Kings,SK Raina,SuperSport Park,GAV Baxter,RE Koertzen
IPL,East London,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,Mumbai Indians,JP Duminy,Buffalo Park,M Erasmus,SK Tarapore
IPL,Durban,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,Royal Challengers Bangalore,Yuvraj Singh,Kingsmead,HDPK Dharmasena,S Ravi
IPL,Port Elizabeth,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,Rajasthan Royals,YK Pathan,St George's Park,S Asnani,BG Jerling
IPL,Johannesburg,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,Chennai Super Kings,SB Jakati,New Wanderers Stadium,DJ Harper,RE Koertzen
IPL,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,normal,Kings XI Punjab,DPMD Jayawardene,St George's Park,S Asnani,MR Benson
IPL,Johannesburg,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,Royal Challengers Bangalore,JH Kallis,New Wanderers Stadium,RE Koertzen,TH Wijewardene
IPL,East London,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,Chennai Super Kings,MS Dhoni,Buffalo Park,BR Doctrove,M Erasmus
IPL,Durban,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,normal,Rajasthan Royals,GC Smith,Kingsmead,SS Hazare,IL Howell
IPL,Durban,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,Delhi Daredevils,G Gambhir,Kingsmead,GAV Baxter,IL Howell
IPL,Centurion,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,Deccan Chargers,RG Sharma,SuperSport Park,MR Benson,HDPK Dharmasena
IPL,Centurion,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,A Singh,SuperSport Park,K Hariharan,DJ Harper
IPL,Centurion,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,Chennai Super Kings,ML Hayden,SuperSport Park,DJ Harper,TH Wijewardene
